device/C,kernel/C,workDimension/C,width/F,height/F,maskWidth/F,maskHeight/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,9.629,0.017,392.651,3.255,1.222
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.272,0.003,381.216,1.359,1.117
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,7.021,0.003,378.063,1.822,1.569
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,7.081,0.004,382.232,1.317,1.688
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.563,0.003,383.847,1.34,1.667
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.568,0.003,385.764,1.334,1.706
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.02,0.016,374.708,1.803,1.087
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.138,0.002,382.007,1.279,0.967
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.792,0.017,385.641,1.262,1.042
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,7.504,0.004,390.41,1.764,1.696
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.503,0.003,397.139,1.854,1.147
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2048,1,1,6.71,0.002,394.899,1.305,1.134
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4096,1,1,6.432,0.004,419.488,1.328,1.649
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8192,1,1,7.016,0.003,438.917,1.953,1.952
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,10.913,0.005,369.235,2.704,0.937
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,7.084,0.004,369.548,1.098,1.305
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.561,0.005,374.37,1.171,1.245
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,5.813,0.002,361.89,2.053,1.019
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.861,0.005,373.014,2.153,1.228
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.488,0.004,374.438,1.138,1.273
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.479,0.016,363.327,1.083,1.175
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,128,1,1,7.229,0.004,365.622,1.202,1.223
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,256,1,1,8.394,0.003,373.327,2.221,1.19
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,7.166,0.006,373.651,1.128,1.267
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,8.118,0.005,368.786,2.106,0.975
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2048,1,1,7.049,0.005,395.075,2.104,1.232
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4096,1,1,6.666,0.014,439.603,1.101,1.264
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8192,1,1,6.5,0.002,442.79,2.094,0.978
