device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,1,65.032,0.011,35.022,39.49,2.541
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,2,68.893,0.023,30.251,34.985,2.408
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,4,69.546,0.007,42.025,38.437,2.553
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,8,69.941,0.021,44.422,35.172,2.669
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,16,68.327,0.008,60.11,39.181,2.875
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,32,70.527,0.007,68.599,34.659,2.528
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,64,70.246,0.006,83.171,38.086,2.665
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,128,69.744,0.007,107.794,34.494,2.328
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,256,69.221,0.008,145.269,32.203,2.558
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,512,69.956,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,1024,64.758,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,2048,64.756,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,4096,67.108,0.006,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,1,8192,65.667,0.008,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,1,68.8,0.007,24.943,39.657,2.452
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,2,69.634,0.007,24.117,34.161,2.386
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,4,70.859,0.007,34.745,38.147,2.48
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,8,70.168,0.007,35.756,38.31,2.488
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,16,70.212,0.007,41.831,34.927,2.327
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,32,67.816,0.007,52.503,34.501,2.516
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,64,68.457,0.007,82.22,31.744,2.708
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,128,65.945,0.006,107.887,32.055,2.467
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,256,70.295,0.007,134.758,35.132,2.295
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,512,66.501,0.006,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,1024,75.587,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,2048,67.817,0.006,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,2,4096,67.069,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,1,67.707,0.007,18.791,34.908,2.394
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,2,66.781,0.008,24.39,34.52,2.458
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,4,70.301,0.006,36.682,35.387,2.297
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,8,70.226,0.007,29.059,35.442,2.309
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,16,66.428,0.008,37.909,39.219,2.586
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,32,66.513,0.007,53.096,34.729,2.462
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,64,70.098,0.006,74.372,38.089,2.551
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,128,70.419,0.008,102.149,35.513,2.283
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,256,66.639,0.007,131.429,32.045,2.346
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,512,70.071,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,1024,68.359,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,4,2048,70.793,0.008,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,1,69.345,0.022,24.481,34.5,2.493
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,2,66.559,0.022,31.733,32.348,2.433
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,4,69.369,0.024,28.648,39.162,2.089
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,8,78.125,0.024,33.244,39.1,2.179
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,16,68.23,0.01,38.855,35.151,2.022
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,32,68.64,0.009,64.594,34.145,2.094
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,64,65.186,0.008,100.32,30.849,2.135
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,256,1,8,128,68.489,0.016,144.94,30.807,2.099
