device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,2.166,0.005,0.791,0.643,0.743
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,1.768,0.005,0.774,0.535,1.284
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,1.391,0.005,0.823,0.49,1.244
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,1.303,0.005,0.621,0.417,0.742
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,1.387,0.005,0.866,0.691,0.779
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,1.273,0.004,0.842,0.53,1.235
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,1.308,0.005,0.854,0.517,1.242
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,1.333,0.005,0.827,0.395,0.633
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,1.583,0.005,0.69,0.617,1.17
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,1.346,0.005,0.648,0.413,0.692
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1024,1,1,1.606,0.004,0.549,0.551,1.329
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2048,1,1,1.601,0.005,0.631,0.437,0.667
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4096,1,1,1.586,0.005,0.48,0.592,0.763
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8192,1,1,1.525,0.005,0.621,0.603,1.257
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,1.328,0.003,0.598,0.44,0.85
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,1.303,0.016,0.662,0.349,0.773
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,1.409,0.004,0.676,0.345,0.735
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,1.704,0.005,0.63,0.441,0.717
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,1.562,0.005,0.668,0.579,1.345
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,1.448,0.005,0.767,0.558,0.786
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,1.615,0.004,0.908,0.437,1.311
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,1.53,0.004,0.779,0.545,0.824
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,1.592,0.005,0.707,0.39,1.352
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,1.451,0.005,0.622,0.61,0.833
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1024,1,1,1.648,0.005,0.518,0.426,1.407
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2048,1,1,1.933,0.006,0.627,0.395,1.306
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4096,1,1,1.379,0.004,0.545,0.453,0.805
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8192,1,1,1.363,0.005,0.525,0.617,1.368
