device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1,1,1,2.587,0.018,1.25,1.311,1.514
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,2,1,1,2.057,0.005,1.19,0.673,1.302
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,4,1,1,2.521,0.006,0.764,0.449,0.887
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,8,1,1,2.473,0.005,0.722,0.571,0.884
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,16,1,1,2.542,0.006,0.842,0.504,0.708
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,32,1,1,2.391,0.006,0.69,0.413,0.815
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,64,1,1,2.231,0.005,0.734,0.597,1.26
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,128,1,1,2.73,0.005,0.848,0.493,1.141
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,256,1,1,2.444,0.005,0.646,0.378,0.804
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,512,1,1,2.583,0.006,0.569,0.573,0.971
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1024,1,1,2.368,0.005,0.502,0.397,0.774
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,2048,1,1,2.452,0.005,0.619,0.539,1.299
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,4096,1,1,2.425,0.005,0.494,0.435,0.911
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,8192,1,1,2.165,0.005,0.49,0.425,0.804
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1,1,1,2.794,0.005,1.136,0.372,1.882
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,2,1,1,1.714,0.003,0.775,0.34,0.774
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,4,1,1,1.69,0.003,0.995,0.377,0.819
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,8,1,1,3.436,0.007,1.344,0.714,1.625
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,16,1,1,2.969,0.006,1.297,0.483,1.014
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,32,1,1,1.844,0.003,0.841,0.517,0.764
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,64,1,1,1.813,0.003,0.819,0.514,0.712
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,128,1,1,1.761,0.003,0.836,0.48,0.761
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,256,1,1,1.749,0.002,0.703,0.6,0.75
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,512,1,1,1.786,0.003,0.435,0.321,0.73
