device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,1,1,1,28,163.064,40.501,0.004,875542,0.001,2.082
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,2,1,1,28,160.341,39.45,0.004,875749,0.001,2.168
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,4,1,1,28,160.474,39.66,0.004,875664,0.001,2.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,8,1,1,28,160.254,39.704,0.004,213468,0.001,2.116
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,16,1,1,28,160.32,45.18,0.004,214020,0.001,2.093
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,32,1,1,28,160.255,39.906,0.004,213857,0,2.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,64,1,1,28,160.203,40.08,0.004,213840,0,2.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,128,1,1,28,160.26,39.727,0.005,213754,0.002,2.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,256,1,1,28,160.399,40.86,0.004,214577,0.001,2.226
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,512,1,1,28,160.245,40.359,0.004,215090,0.001,2.158
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,1024,1,1,28,160.255,40.263,0.005,222460,0.011,2.991
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,2048,1,1,28,160.284,40.401,0.008,223930,0.001,2.895
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,4096,1,1,28,160.156,40.175,0.008,232640,0.001,2.419
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,8192,1,1,28,160.436,39.954,0.004,255204,0.001,2.9
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,1,1,1,28,167.362,40.455,0.005,888288,0.001,2.381
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,2,1,1,28,160.537,41.621,0.006,888331,0.001,2.386
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,4,1,1,28,160.588,40.437,0.005,888762,0.001,2.383
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,8,1,1,28,160.103,41.224,0.005,214540,0.001,2.587
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,16,1,1,28,160.331,40.526,0.005,213273,0.001,2.575
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,32,1,1,28,160.336,40.758,0.006,213253,0.001,2.339
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,64,1,1,28,159.887,40.79,0.006,213545,0.001,2.645
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,128,1,1,28,161.549,40.656,0.006,213677,0.001,2.634
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,256,1,1,28,160.455,41.602,0.005,215791,0.001,2.62
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,512,1,1,28,160.456,43.303,0.006,215176,0.001,2.365
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,1024,1,1,28,160.216,41.307,0.006,222399,0,3.525
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,2048,1,1,28,160.398,41.146,0.006,221473,0,3.36
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,4096,1,1,28,160.276,41.754,0.007,239479,0.001,3.223
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.83501e+06,0.005,1,8192,1,1,28,160.243,41.52,0.007,239834,0.001,2.791
