device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1,1,1,18,96.02,17.711,0.007,6.233,10.826,1.654
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,2,1,1,18,91.242,18.188,0.007,4.822,10.735,1.657
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,4,1,1,18,91.543,17.88,0.006,5.433,12.275,1.702
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,8,1,1,18,91.84,17.756,0.005,3.48,9.129,1.431
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,16,1,1,18,91.344,17.693,0.006,5.678,11.191,1.978
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,32,1,1,18,120.772,21.755,0.007,3.901,11.357,1.98
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,64,1,1,18,121.227,21.554,0.006,5.631,11.025,1.978
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,128,1,1,18,121.327,21.676,0.008,3.771,11.088,1.744
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,256,1,1,18,121.236,21.669,0.007,4.038,10.832,1.967
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,512,1,1,18,122.1,21.719,0.007,5.553,10.112,1.998
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1024,1,1,18,120.898,21.708,0.007,3.945,9.898,2.008
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,2048,1,1,18,121.063,21.575,0.006,3.48,11.976,1.82
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,4096,1,1,18,121.242,21.569,0.007,3.844,10.849,1.99
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,8192,1,1,18,121.187,21.545,0.007,5.275,10.967,1.887
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1,1,1,18,92.275,18.143,0.009,5.979,9.425,1.339
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,2,1,1,18,92.521,18.014,0.007,4.766,9.523,1.354
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,4,1,1,18,92.476,17.953,0.008,4.572,8.341,1.432
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,8,1,1,18,92.734,17.98,0.008,5.644,8.178,1.457
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,16,1,1,18,92.122,17.975,0.007,4.028,8.143,1.378
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,32,1,1,18,93.354,18.041,0.008,4.115,7.875,1.367
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,64,1,1,18,93.538,18.047,0.007,5.786,8.192,1.36
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,128,1,1,18,92.57,17.896,0.007,5.789,8.111,1.413
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,256,1,1,18,92.858,17.811,0.008,3.752,10.414,1.337
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,512,1,1,18,92.424,18.071,0.008,5.631,9.267,1.425
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1024,1,1,18,92.791,18.153,0.008,3.75,9.066,1.326
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,2048,1,1,18,92.164,18.014,0.008,3.86,10.583,1.31
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,4096,1,1,18,92.41,17.967,0.007,3.493,7.868,1.381
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,8192,1,1,18,92.54,18.097,0.006,3.421,7.938,1.374
