device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,1,1,9.824,0.005,30628.1,10.116,2.337
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,2,1,10.967,0.006,18501.6,22.816,1.819
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,4,1,12.871,0.006,12413.9,14.396,1.945
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,8,1,11.022,0.006,10262,15.248,2.125
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,16,1,9.932,0.007,10623,16.666,2.995
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,32,1,13.935,0.008,16949.8,18.165,2.247
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,64,1,10.412,0.006,20732.7,14.302,1.699
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,128,1,11.051,0.006,21967.5,14.389,2.516
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,256,1,10.275,0.006,22887,11.801,2.389
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,512,1,11.081,0.007,23310.4,14.811,1.793
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,1024,1,10.396,0.006,23816.9,13.07,1.975
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,2048,1,11.511,0.007,24145,14.391,1.861
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,4096,1,15.878,0.008,-1,-1,-1
