device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,1,1,64,1035.9,32.774,0.01,63174.5,65.155,2.055
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,2,1,64,1037.92,34.876,0.009,37584.5,65.447,2.146
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,4,1,64,1030.57,34.063,0.009,24122.8,52.983,2.029
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,8,1,64,1029.4,33.954,0.008,21996.2,77.905,2.12
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,16,1,64,1033.51,33.953,0.009,23398.7,78.318,2.078
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,32,1,64,1032.01,34.02,0.009,25357.5,79.975,2.072
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,64,1,64,1030.11,33.953,0.008,28079.9,79.065,2.08
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,128,1,64,1028.23,33.548,0.009,36666.9,80.886,2.069
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,256,1,64,1034.09,33.348,0.008,53444.7,80.348,1.975
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,512,1,64,1039.75,33.601,0.008,101271,82.005,2.188
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,1024,1,64,1034.25,33.514,0.009,117605,80.651,2.049
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,2048,1,64,1031.26,36.08,0.009,164903,65.166,1.998
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,4096,1,64,1030.74,34.878,0.009,170881,80.057,2.181
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,1,8192,1,64,1035.32,33.985,0.008,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,1,1,64,1026.25,33.809,0.008,35217.1,64.891,2.091
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,2,1,64,1030.87,34.001,0.009,22486.1,65.165,2.146
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,4,1,64,1032.27,32.468,0.008,16035.1,77.76,1.966
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,8,1,64,1037.02,34.188,0.009,17230,79.708,2.151
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,16,1,64,1034.21,33.89,0.008,17158.2,82.285,2.111
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,32,1,64,1035.47,33.989,0.009,19044.4,62.11,2.098
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,64,1,64,1031.7,33.826,0.008,23093.5,52.702,2.139
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,128,1,64,1027.67,33.097,0.009,27178.6,80.577,2.025
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,256,1,64,1034.24,33.712,0.007,39230.3,55.628,2.23
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,512,1,64,1070.65,34.33,0.008,59644.4,69.544,2.036
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,1024,1,64,1051.58,34.235,0.008,65632.6,81.827,2.207
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,2048,1,64,1034.46,33.537,0.008,89694,67.45,2.139
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,2,4096,1,64,1039.77,34.001,0.008,93537.1,81.314,2.156
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,1,1,64,1032.02,33.479,0.009,18825.5,78.346,2.093
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,2,1,64,1031.97,34.149,0.008,15750.6,66.045,2.191
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,4,1,64,1030.45,34.235,0.008,12621.6,79.131,2.064
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,8,1,64,1030.34,37.455,0.01,12157.7,80.588,2.024
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,16,1,64,1026.84,33.608,0.008,12384.9,49.78,2.112
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,32,1,64,1031.81,33.673,0.008,14414.5,79.692,2.066
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,64,1,64,1029.05,33.811,0.008,17324.7,80.542,2.059
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,128,1,64,1048.06,34.236,0.009,20610.2,68.57,2.089
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,256,1,64,1045.41,33.893,0.009,27174.2,54.831,2.142
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,512,1,64,1040.52,33.574,0.008,33096.2,66.687,1.948
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,1024,1,64,1055.23,33.944,0.008,34509.8,82.264,2.048
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,4,2048,1,64,1071.29,33.381,0.008,44847.3,67.379,2.147
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,1,1,64,1037.79,33.576,0.007,11613.2,79.143,2.097
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,2,1,64,1032.01,33.322,0.008,11240.1,52.277,2.063
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,4,1,64,1031.3,33.467,0.007,10540.5,79.665,2.151
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,8,1,64,1033.27,31.898,0.008,10141.4,77.344,2.066
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,16,1,64,1032.31,33.683,0.008,10897.7,68.205,2.047
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,32,1,64,1034.67,33.862,0.008,12104.6,79.433,2.024
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,64,1,64,1032.7,34.221,0.009,14128.6,68.498,2.109
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,4096,4096,8,128,1,64,1035.03,33.807,0.009,17731.3,81.273,2.093
