device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,1,1,8,116.684,24.007,0.006,595.579,0.001,6.069
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,2,1,8,117.194,29.298,0.007,530.431,0.001,5.325
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,4,1,8,115.411,28.483,0.007,486.911,0.001,5.327
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,8,1,8,115.552,26.787,0.006,485.242,0.001,5.331
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,16,1,8,117.173,28.241,0.006,512.828,0.001,5.327
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,32,1,8,115.1,23.548,0.006,555.71,0.001,5.33
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,64,1,8,115.34,23.983,0.005,576.204,0.001,5.327
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,128,1,8,116.513,23.114,0.006,589.487,0.001,5.325
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,256,1,8,116.129,28.112,0.007,655.049,0.001,5.325
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,1,1,8,117.045,23.814,0.006,529.533,0.001,5.332
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,2,1,8,115.401,24.142,0.006,494.987,0.001,5.396
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,4,1,8,115.851,27.878,0.007,475.803,0,5.324
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,8,1,8,115.391,24.174,0.006,495.808,0.001,5.319
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,16,1,8,115.317,23.483,0.006,503.527,0,5.359
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,32,1,8,116.2,24.52,0.005,502.462,0.001,5.323
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,64,1,8,115.081,28.023,0.007,491.7,0,5.338
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,128,1,8,118.403,28.081,0.004,531.638,0.001,5.36
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,1,1,8,116.092,27.527,0.007,495.264,0.001,5.341
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,2,1,8,115.598,27.488,0.007,490.046,0.001,5.33
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,4,1,8,115.014,24.102,0.004,499.277,0,5.335
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,8,1,8,117.575,24.326,0.006,491.503,0.001,5.342
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,16,1,8,115.137,28.226,0.008,496.213,0.001,5.322
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,32,1,8,115.252,23.585,0.005,493.676,0.001,5.324
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,64,1,8,115.047,23.584,0.006,490.663,0.001,5.325
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,1,1,8,115.209,27.461,0.006,476.715,0.001,5.362
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,2,1,8,115.397,24.24,0.006,494.269,0,5.385
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,4,1,8,115.536,24.696,0.005,494.536,0.001,5.318
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,8,1,8,115.258,24.845,0.006,493.167,0.001,5.327
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,16,1,8,115.687,24.042,0.005,495.721,0,5.318
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,32,1,8,114.939,24.464,0.004,499.411,0.001,5.402
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,1,1,8,114.975,30.007,0.006,495.605,0.001,5.399
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,2,1,8,115.052,30.128,0.003,497.795,0.001,5.381
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,4,1,8,115.09,29.689,0.006,500.195,0.001,5.406
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,8,1,8,117.822,29.025,0.004,497.593,0.001,5.381
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,16,1,8,115.288,29.711,0.006,498.095,0.001,5.405
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,1,1,8,115.544,29.061,0.005,492.026,0.001,5.367
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,2,1,8,115.156,29.229,0.006,499.733,0.001,5.376
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,4,1,8,115.085,29.438,0.006,499.932,0.001,5.361
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,8,1,8,115.119,29.564,0.006,500.614,0.001,5.368
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,1,1,8,114.887,29.994,0.006,498.445,0.001,5.374
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,2,1,8,115.243,29.514,0.006,500.83,0.001,5.362
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,4,1,8,115.14,29.688,0.006,499.543,0.001,5.381
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,1,1,8,116.215,29.657,0.003,489.297,0.001,5.363
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,2,1,8,115.216,29.865,0.006,498.655,0.001,5.367
Hawaii,FluidSimulation,TWO_D,1024,1024,5,256,1,1,8,115.284,29.381,0.006,499.396,0.001,5.394
