device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,NoMemory,ONE_D,1,1,1,8,0,0,0,0.513,0,0.056
AMD Firepro W9100,NoMemory,ONE_D,2,1,1,8,0,0,0,0.377,0,0.02
AMD Firepro W9100,NoMemory,ONE_D,4,1,1,8,0,0,0,0.252,0,0.019
AMD Firepro W9100,NoMemory,ONE_D,8,1,1,8,0.001,0,0,0.376,0,0.047
AMD Firepro W9100,NoMemory,ONE_D,16,1,1,8,0,0,0,0.343,0,0.018
AMD Firepro W9100,NoMemory,ONE_D,32,1,1,8,0,0,0,0.252,0,0.018
AMD Firepro W9100,NoMemory,ONE_D,64,1,1,8,0,0,0,0.366,0.001,0.046
AMD Firepro W9100,NoMemory,ONE_D,128,1,1,8,0,0,0.001,0.351,0,0.024
AMD Firepro W9100,NoMemory,ONE_D,256,1,1,8,0,0,0,0.273,0,0.021
AMD Firepro W9100,NoMemory,ONE_D,1,1,1,8,0,0,0,0.445,0.001,0.051
AMD Firepro W9100,NoMemory,ONE_D,2,1,1,8,0,0,0,0.415,0.001,0.051
AMD Firepro W9100,NoMemory,ONE_D,4,1,1,8,0,0,0,0.402,0,0.054
AMD Firepro W9100,NoMemory,ONE_D,8,1,1,8,0,0,0,0.327,0.001,0.024
AMD Firepro W9100,NoMemory,ONE_D,16,1,1,8,0,0,0,0.264,0,0.024
AMD Firepro W9100,NoMemory,ONE_D,32,1,1,8,0,0,0,0.406,0,0.052
AMD Firepro W9100,NoMemory,ONE_D,64,1,1,8,0,0,0,0.389,0.001,0.047
AMD Firepro W9100,NoMemory,ONE_D,128,1,1,8,0,0,0,0.385,0.001,0.047
AMD Firepro W9100,NoMemory,ONE_D,256,1,1,8,0,0,0,0.324,0,0.023
AMD Firepro W9100,NoMemory,ONE_D,1,1,1,8,0.001,0,0,0.552,0.001,0.036
AMD Firepro W9100,NoMemory,ONE_D,2,1,1,8,0,0,0,0.401,0,0.027
AMD Firepro W9100,NoMemory,ONE_D,4,1,1,8,0,0,0,0.407,0,0.026
AMD Firepro W9100,NoMemory,ONE_D,8,1,1,8,0,0,0,0.385,0,0.025
AMD Firepro W9100,NoMemory,ONE_D,16,1,1,8,0,0,0,0.403,0,0.057
AMD Firepro W9100,NoMemory,ONE_D,32,1,1,8,0,0,0,0.392,0,0.051
AMD Firepro W9100,NoMemory,ONE_D,64,1,1,8,0,0,0,0.403,0,0.05
AMD Firepro W9100,NoMemory,ONE_D,128,1,1,8,0,0,0,0.405,0,0.027
