device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,20.813,4.425,0.001,1202.87,1.42,0.1
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,29.208,3.375,0.002,602.16,1.24,0.048
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,30.751,3.909,0.001,301.838,1.386,0.092
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,32.024,3.74,0.002,151.717,1.364,0.091
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,32.533,3.552,0.002,77.108,1.259,0.048
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,30.236,3.683,0.002,38.877,1.254,0.093
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,28.188,3.696,0.001,26.645,1.27,0.048
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,28.237,3.686,0.002,25.498,1.248,0.047
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,28.725,3.858,0.002,24.774,1.259,0.048
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,20.764,4.281,0.002,1202.88,1.442,0.125
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,21.455,4.226,0,602.314,1.462,0.057
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,21.323,4.173,0.001,301.959,1.437,0.118
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,22.327,4.173,0.001,151.749,1.481,0.058
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,21.958,4.099,0.001,77.153,1.468,0.058
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,25.716,4.289,0.001,39.064,1.43,0.117
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,31.583,4.105,0.001,26.916,1.439,0.057
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,22.591,4.14,0.001,25.708,1.442,0.057
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,26.341,4.095,0.001,25.087,1.435,0.058
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,20.319,4.091,0.002,1202.84,1.505,0.12
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,27.99,3.984,0.002,602.281,1.365,0.055
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,29.74,3.604,0.001,301.806,1.382,0.055
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,31.233,3.782,0.001,151.592,1.388,0.054
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,27.26,3.718,0.001,77.098,1.405,0.108
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,27.802,3.783,0.001,38.894,1.341,0.056
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,31.732,3.737,0.001,26.772,1.393,0.107
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,34.958,3.784,0.002,25.805,1.32,0.056
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,31.756,3.695,0.002,25.137,1.323,0.106
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,20.373,3.637,0.003,1202.97,1.476,0.099
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,33.78,3.871,0.001,602.182,1.368,0.092
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,28.021,3.282,0.001,301.858,1.246,0.046
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,30.757,3.476,0.002,151.631,1.236,0.048
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,31.757,3.451,0.002,77.115,1.387,0.093
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,30.334,3.695,0.001,38.927,1.211,0.066
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,27.753,3.596,0.001,26.821,1.21,0.049
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,28.242,3.439,0.001,25.967,1.202,0.049
AMD Firepro W9100,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,28.759,3.729,0.001,24.901,1.24,0.048
