device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,1,1,1,24,247.77,14.448,0.036,29.089,15.213,2.802
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,2,1,1,24,248.653,14.382,0.004,14.891,16.264,1.488
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,4,1,1,24,250.501,14.657,0.002,8.555,15.899,2.487
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,8,1,1,24,248.944,14.21,0.018,4.598,17.436,1.474
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,16,1,1,24,245.502,13.992,0.004,2.918,17.091,1.519
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,32,1,1,24,251.057,14.431,0.004,2.062,18.087,1.48
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,64,1,1,24,245.856,14.301,0.004,1.642,17.632,1.451
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,128,1,1,24,245.41,14.015,0.004,1.504,17.631,1.466
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,256,1,1,24,245.729,14.48,0.004,1.507,17.601,1.452
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,1,1,1,24,253.211,15.228,0.003,29.523,6.89,1.483
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,2,1,1,24,258.212,14.802,0.005,15.86,6.839,1.485
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,4,1,1,24,261.363,14.546,0.005,8.556,6.853,1.475
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,8,1,1,24,257.819,15.101,0.005,5.117,6.878,1.502
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,16,1,1,24,257.542,10.513,0.003,3.008,6.203,1.15
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,32,1,1,24,253.583,14.061,0.004,2.544,6.801,1.488
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,64,1,1,24,251.886,14.3,0.004,2.034,6.784,1.309
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,128,1,1,24,253.948,10.848,0.002,1.847,6.107,1.302
AMD Firepro W9100,VectorAdd,ONE_D,6.29146e+06,256,1,1,24,251.183,14.68,0.005,1.965,6.803,1.376
