device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,Array3dAverage,THREE_D,256,1,1,1,19.791,0.01,78.347,33.924,6.558
Hawaii,Array3dAverage,THREE_D,256,1,1,2,19.186,0.004,41.199,34.853,7.938
Hawaii,Array3dAverage,THREE_D,256,1,1,4,20.978,0.003,21.685,35.197,8.492
Hawaii,Array3dAverage,THREE_D,256,1,1,8,20.875,0.002,21.405,34.622,8.328
Hawaii,Array3dAverage,THREE_D,256,1,1,16,20.25,0.003,23.588,34.281,8.325
Hawaii,Array3dAverage,THREE_D,256,1,1,32,20.225,0.002,25.924,33.492,6.63
Hawaii,Array3dAverage,THREE_D,256,1,1,64,17.743,0.003,37.553,35.029,8.396
Hawaii,Array3dAverage,THREE_D,256,1,1,128,20.621,0.003,80.676,35.275,7.958
Hawaii,Array3dAverage,THREE_D,256,1,1,256,17.957,0.003,267.85,35.329,8.007
Hawaii,Array3dAverage,THREE_D,256,1,2,1,18.699,0.003,39.928,32.717,8.211
Hawaii,Array3dAverage,THREE_D,256,1,2,2,20.893,0.004,23.183,33.971,8.372
Hawaii,Array3dAverage,THREE_D,256,1,2,4,18.288,0.003,14.293,31.65,8.218
Hawaii,Array3dAverage,THREE_D,256,1,2,8,17.935,0.003,13.6,32.297,6.568
Hawaii,Array3dAverage,THREE_D,256,1,2,16,19.897,0.002,15.417,30.638,7.924
Hawaii,Array3dAverage,THREE_D,256,1,2,32,20.159,0.002,17.291,35.706,7.859
Hawaii,Array3dAverage,THREE_D,256,1,2,64,18.131,0.003,31.9,33.101,8.15
Hawaii,Array3dAverage,THREE_D,256,1,2,128,20.713,0.002,69.698,35.701,8.362
Hawaii,Array3dAverage,THREE_D,256,1,4,1,18.431,0.003,22.071,32.939,8.004
Hawaii,Array3dAverage,THREE_D,256,1,4,2,18.628,0.003,12.942,32.147,8.293
Hawaii,Array3dAverage,THREE_D,256,1,4,4,20.613,0.002,11.859,33.137,7.843
Hawaii,Array3dAverage,THREE_D,256,1,4,8,17.805,0.003,13.03,32.447,8.217
Hawaii,Array3dAverage,THREE_D,256,1,4,16,20.832,0.002,13.597,32.11,8.273
Hawaii,Array3dAverage,THREE_D,256,1,4,32,18.336,0.002,14.815,31.407,8.254
Hawaii,Array3dAverage,THREE_D,256,1,4,64,20.685,0.003,25.583,33.063,8.225
Hawaii,Array3dAverage,THREE_D,256,1,8,1,18.572,0.002,12.588,31.994,8.257
Hawaii,Array3dAverage,THREE_D,256,1,8,2,17.738,0.002,12.587,32.653,8.189
Hawaii,Array3dAverage,THREE_D,256,1,8,4,17.464,0.002,13.601,32.459,6.603
Hawaii,Array3dAverage,THREE_D,256,1,8,8,20.138,0.001,14.734,32.288,8.043
Hawaii,Array3dAverage,THREE_D,256,1,8,16,17.06,0.003,15.873,30.629,7.266
Hawaii,Array3dAverage,THREE_D,256,1,8,32,20.863,0.003,15.355,32.181,8.133
Hawaii,Array3dAverage,THREE_D,256,1,16,1,16.525,0.004,13.858,32.47,7.484
Hawaii,Array3dAverage,THREE_D,256,1,16,2,20.856,0.002,13.157,33.863,8.312
Hawaii,Array3dAverage,THREE_D,256,1,16,4,20.924,0.002,13.844,33.469,6.628
Hawaii,Array3dAverage,THREE_D,256,1,16,8,18.981,0.003,15.24,36.261,8.038
Hawaii,Array3dAverage,THREE_D,256,1,16,16,17.679,0.003,14.373,32.326,8.303
Hawaii,Array3dAverage,THREE_D,256,1,32,1,20.845,0.003,13.037,33.437,8.377
Hawaii,Array3dAverage,THREE_D,256,1,32,2,20.734,0.002,14.893,31.105,8.105
Hawaii,Array3dAverage,THREE_D,256,1,32,4,20.931,0.003,14.768,32.384,8.29
Hawaii,Array3dAverage,THREE_D,256,1,32,8,18.095,0.003,14.017,35.939,7.938
Hawaii,Array3dAverage,THREE_D,256,1,64,1,20.796,0.002,14.014,33.715,8.412
Hawaii,Array3dAverage,THREE_D,256,1,64,2,19.891,0.002,13.696,32.711,8.375
Hawaii,Array3dAverage,THREE_D,256,1,64,4,20.299,0.002,13.82,36.103,8.37
Hawaii,Array3dAverage,THREE_D,256,1,128,1,19.278,0.002,14.513,31.237,8.299
Hawaii,Array3dAverage,THREE_D,256,1,128,2,18.175,0.002,14.773,31.924,8.148
Hawaii,Array3dAverage,THREE_D,256,1,256,1,17.614,0.002,14.228,31.478,8.243
Hawaii,Array3dAverage,THREE_D,256,2,1,1,18.087,0.003,39.862,33.959,8.243
Hawaii,Array3dAverage,THREE_D,256,2,1,2,18.698,0.003,21.65,31.948,6.542
Hawaii,Array3dAverage,THREE_D,256,2,1,4,20.117,0.002,14.263,31.798,8.238
Hawaii,Array3dAverage,THREE_D,256,2,1,8,17.878,0.003,11.963,32.683,8.171
Hawaii,Array3dAverage,THREE_D,256,2,1,16,17.547,0.002,12.003,34.876,8.418
Hawaii,Array3dAverage,THREE_D,256,2,1,32,18.35,0.003,12.885,32.789,8.269
Hawaii,Array3dAverage,THREE_D,256,2,1,64,17.831,0.003,18.895,34.559,8.451
Hawaii,Array3dAverage,THREE_D,256,2,1,128,20.698,0.003,39.819,30.786,8.192
Hawaii,Array3dAverage,THREE_D,256,2,2,1,21.2,0.002,22.798,33.23,8.293
Hawaii,Array3dAverage,THREE_D,256,2,2,2,20.686,0.002,13.666,32.931,8.22
Hawaii,Array3dAverage,THREE_D,256,2,2,4,20.819,0.002,8.44,31.679,8.272
Hawaii,Array3dAverage,THREE_D,256,2,2,8,18.728,0.003,8.521,33.837,8.283
Hawaii,Array3dAverage,THREE_D,256,2,2,16,19.701,0.003,10.037,35.278,8.291
Hawaii,Array3dAverage,THREE_D,256,2,2,32,20.837,0.002,10.461,35.47,8.429
Hawaii,Array3dAverage,THREE_D,256,2,2,64,17.665,0.002,12.54,34.113,6.538
Hawaii,Array3dAverage,THREE_D,256,2,4,1,20.627,0.002,12.307,33.068,8.263
Hawaii,Array3dAverage,THREE_D,256,2,4,2,17.581,0.003,8.409,31.052,8.123
Hawaii,Array3dAverage,THREE_D,256,2,4,4,17.696,0.004,8.063,33.728,8.274
Hawaii,Array3dAverage,THREE_D,256,2,4,8,17.772,0.003,8.687,38.252,8.407
Hawaii,Array3dAverage,THREE_D,256,2,4,16,20.726,0.002,8.994,35.383,8.008
Hawaii,Array3dAverage,THREE_D,256,2,4,32,16.504,0.003,10.656,35.92,6.232
Hawaii,Array3dAverage,THREE_D,256,2,8,1,16.492,0.002,7.552,34.176,6.971
Hawaii,Array3dAverage,THREE_D,256,2,8,2,16.744,0.003,7.794,32.417,6.407
Hawaii,Array3dAverage,THREE_D,256,2,8,4,16.308,0.002,8.659,35.443,7.199
Hawaii,Array3dAverage,THREE_D,256,2,8,8,19.064,0.003,8.95,31.099,7.362
Hawaii,Array3dAverage,THREE_D,256,2,8,16,19.858,0.002,10.804,33.461,6.6
Hawaii,Array3dAverage,THREE_D,256,2,16,1,19.848,0.002,9.167,34.892,8.402
Hawaii,Array3dAverage,THREE_D,256,2,16,2,19.182,0.002,9.298,33.995,8.286
Hawaii,Array3dAverage,THREE_D,256,2,16,4,20.225,0.002,8.775,31.979,8.18
Hawaii,Array3dAverage,THREE_D,256,2,16,8,17.218,0.002,9.763,30.982,8.144
Hawaii,Array3dAverage,THREE_D,256,2,32,1,18.566,0.002,9.312,34.829,8.476
Hawaii,Array3dAverage,THREE_D,256,2,32,2,16.829,0.004,9.923,39.011,5.175
Hawaii,Array3dAverage,THREE_D,256,2,32,4,16.655,0.002,8.965,34.972,6.778
Hawaii,Array3dAverage,THREE_D,256,2,64,1,17.46,0.003,9.754,36.054,8.115
Hawaii,Array3dAverage,THREE_D,256,2,64,2,20.373,0.002,9.415,36.606,8.339
Hawaii,Array3dAverage,THREE_D,256,2,128,1,20.934,0.002,10.843,33.991,8.216
Hawaii,Array3dAverage,THREE_D,256,4,1,1,19.582,0.002,22.064,33.068,6.587
Hawaii,Array3dAverage,THREE_D,256,4,1,2,19.967,0.003,13.052,33.006,6.577
Hawaii,Array3dAverage,THREE_D,256,4,1,4,20.032,0.003,8.372,35.091,7.977
Hawaii,Array3dAverage,THREE_D,256,4,1,8,18.168,0.003,6.847,36.496,8.415
Hawaii,Array3dAverage,THREE_D,256,4,1,16,20.509,0.002,7.91,35.59,6.945
Hawaii,Array3dAverage,THREE_D,256,4,1,32,20.752,0.002,7.936,32.689,8.187
Hawaii,Array3dAverage,THREE_D,256,4,1,64,20.543,0.003,11.651,35.392,7.892
Hawaii,Array3dAverage,THREE_D,256,4,2,1,17.885,0.003,12.792,32.547,8.291
Hawaii,Array3dAverage,THREE_D,256,4,2,2,17.61,0.002,7.948,35.32,8.353
Hawaii,Array3dAverage,THREE_D,256,4,2,4,20.566,0.002,5.87,36.791,8.342
Hawaii,Array3dAverage,THREE_D,256,4,2,8,20.741,0.003,5.915,37.829,8.319
Hawaii,Array3dAverage,THREE_D,256,4,2,16,20.266,0.002,6.66,35.549,8.305
Hawaii,Array3dAverage,THREE_D,256,4,2,32,20.796,0.003,9.395,36.119,7.93
Hawaii,Array3dAverage,THREE_D,256,4,4,1,20.501,0.002,8.868,34.616,8.009
