device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FloydWarshall,TWO_D,2048,2048,1,1,1,5.361,0.004,38113.8,16.491,3.679
Hawaii,FloydWarshall,TWO_D,2048,2048,1,2,1,5.305,0.003,19712.5,13.517,3.912
Hawaii,FloydWarshall,TWO_D,2048,2048,1,4,1,5.482,0.002,10925.3,15.394,4.019
Hawaii,FloydWarshall,TWO_D,2048,2048,1,8,1,5.705,0.002,6726.93,15.381,3.934
Hawaii,FloydWarshall,TWO_D,2048,2048,1,16,1,5.104,0.002,4823.71,14.439,2.486
Hawaii,FloydWarshall,TWO_D,2048,2048,1,32,1,5.248,0.002,4720.69,15.364,3.939
Hawaii,FloydWarshall,TWO_D,2048,2048,1,64,1,4.795,0.003,7500.32,16.041,3.586
Hawaii,FloydWarshall,TWO_D,2048,2048,1,128,1,5.344,0.003,9767.72,15.283,3.538
Hawaii,FloydWarshall,TWO_D,2048,2048,1,256,1,5.627,0.002,10948.8,14.076,3.441
Hawaii,FloydWarshall,TWO_D,2048,2048,2,1,1,6.13,0.003,19759.5,16.458,4
Hawaii,FloydWarshall,TWO_D,2048,2048,2,2,1,7.562,0.003,10876.3,15.91,3.987
Hawaii,FloydWarshall,TWO_D,2048,2048,2,4,1,7.684,0.004,6676.36,15.263,3.943
Hawaii,FloydWarshall,TWO_D,2048,2048,2,8,1,5.564,0.002,4845.56,17.261,3.937
Hawaii,FloydWarshall,TWO_D,2048,2048,2,16,1,5.494,0.002,4151.75,15.439,3.965
Hawaii,FloydWarshall,TWO_D,2048,2048,2,32,1,5.235,0.002,4782.24,17.475,3.97
Hawaii,FloydWarshall,TWO_D,2048,2048,2,64,1,5.315,0.003,5674.17,14.902,3.942
Hawaii,FloydWarshall,TWO_D,2048,2048,2,128,1,4.94,0.003,6542.88,16.35,3.968
Hawaii,FloydWarshall,TWO_D,2048,2048,4,1,1,5.726,0.002,10888.2,12.392,2.657
Hawaii,FloydWarshall,TWO_D,2048,2048,4,2,1,5.069,0.003,6693.23,11.502,3.152
Hawaii,FloydWarshall,TWO_D,2048,2048,4,4,1,5.061,0.003,4865.25,16.554,3.951
Hawaii,FloydWarshall,TWO_D,2048,2048,4,8,1,5.513,0.003,4142.58,14.518,3.952
Hawaii,FloydWarshall,TWO_D,2048,2048,4,16,1,5.327,0.002,4163.01,16.172,3.965
Hawaii,FloydWarshall,TWO_D,2048,2048,4,32,1,5.247,0.003,4168.9,14.869,3.94
Hawaii,FloydWarshall,TWO_D,2048,2048,4,64,1,5.721,0.002,4481.94,15.039,3.821
Hawaii,FloydWarshall,TWO_D,2048,2048,8,1,1,5.21,0.003,6735.54,12.608,3.977
Hawaii,FloydWarshall,TWO_D,2048,2048,8,2,1,5.352,0.002,4851.07,16.07,3.971
Hawaii,FloydWarshall,TWO_D,2048,2048,8,4,1,5.592,0.002,4080.84,15.24,3.941
Hawaii,FloydWarshall,TWO_D,2048,2048,8,8,1,5.024,0.002,3940.86,15.18,3.973
Hawaii,FloydWarshall,TWO_D,2048,2048,8,16,1,5.418,0.002,3937.73,16.443,3.944
Hawaii,FloydWarshall,TWO_D,2048,2048,8,32,1,5.197,0.002,3880.97,15.846,3.988
Hawaii,FloydWarshall,TWO_D,2048,2048,16,1,1,5.682,0.003,4853.55,14.5,3.803
Hawaii,FloydWarshall,TWO_D,2048,2048,16,2,1,5.416,0.003,4030.56,17.05,3.946
Hawaii,FloydWarshall,TWO_D,2048,2048,16,4,1,5.57,0.002,3790.84,16.261,3.884
Hawaii,FloydWarshall,TWO_D,2048,2048,16,8,1,5.328,0.003,3663.07,17.528,4.015
Hawaii,FloydWarshall,TWO_D,2048,2048,16,16,1,6.079,0.004,3690.56,15.219,4.227
Hawaii,FloydWarshall,TWO_D,2048,2048,32,1,1,5.805,0.003,3978.54,15.909,4.017
Hawaii,FloydWarshall,TWO_D,2048,2048,32,2,1,5.665,0.002,3776.47,17.221,4.005
Hawaii,FloydWarshall,TWO_D,2048,2048,32,4,1,5.062,0.003,3628.11,12.81,3.946
Hawaii,FloydWarshall,TWO_D,2048,2048,32,8,1,5.518,0.002,3632.5,16.355,3.932
Hawaii,FloydWarshall,TWO_D,2048,2048,64,1,1,4.829,0.003,3800.61,16.379,3.088
Hawaii,FloydWarshall,TWO_D,2048,2048,64,2,1,5.672,0.002,3606.01,16.697,3.949
Hawaii,FloydWarshall,TWO_D,2048,2048,64,4,1,5.678,0.003,3638.76,16.853,3.979
Hawaii,FloydWarshall,TWO_D,2048,2048,128,1,1,4.978,0.003,3648.07,16.855,3.955
Hawaii,FloydWarshall,TWO_D,2048,2048,128,2,1,5.313,0.002,3631.63,15.656,3.945
Hawaii,FloydWarshall,TWO_D,2048,2048,256,1,1,5.408,0.003,3607.93,12.431,3.962
Hawaii,FloydWarshall,TWO_D,2048,2048,1,1,1,6.044,0.003,38120.2,15.307,6.046
Hawaii,FloydWarshall,TWO_D,2048,2048,1,2,1,6.086,0.003,19815.5,14.358,3.44
Hawaii,FloydWarshall,TWO_D,2048,2048,1,4,1,5.426,0.004,10942.1,13.834,3.768
Hawaii,FloydWarshall,TWO_D,2048,2048,1,8,1,5.487,0.002,6746.6,12.772,2.254
Hawaii,FloydWarshall,TWO_D,2048,2048,1,16,1,5.211,0.004,4885.59,13.517,2.21
Hawaii,FloydWarshall,TWO_D,2048,2048,1,32,1,5.754,0.003,4769.46,16.896,3.071
Hawaii,FloydWarshall,TWO_D,2048,2048,1,64,1,5.061,0.004,7624.23,13.868,2.212
Hawaii,FloydWarshall,TWO_D,2048,2048,1,128,1,5.158,0.003,9795.38,13.241,3.503
Hawaii,FloydWarshall,TWO_D,2048,2048,1,256,1,5.328,0.002,10887.6,14.894,3.736
Hawaii,FloydWarshall,TWO_D,2048,2048,2,1,1,4.931,0.003,19752.8,15.008,3.914
Hawaii,FloydWarshall,TWO_D,2048,2048,2,2,1,5.076,0.002,10839.2,16.274,3.851
Hawaii,FloydWarshall,TWO_D,2048,2048,2,4,1,7.574,0.003,6747.6,19.18,3.828
Hawaii,FloydWarshall,TWO_D,2048,2048,2,8,1,8.371,0.004,4843.28,13.57,3.83
Hawaii,FloydWarshall,TWO_D,2048,2048,2,16,1,5.715,0.002,4184.08,14.978,3.81
Hawaii,FloydWarshall,TWO_D,2048,2048,2,32,1,5.205,0.003,4764.85,13.533,2.224
Hawaii,FloydWarshall,TWO_D,2048,2048,2,64,1,5.426,0.002,5647.1,17.127,3.844
Hawaii,FloydWarshall,TWO_D,2048,2048,2,128,1,5.5,0.002,6488.56,16.812,3.83
Hawaii,FloydWarshall,TWO_D,2048,2048,4,1,1,5.627,0.003,10868.6,14.845,3.915
Hawaii,FloydWarshall,TWO_D,2048,2048,4,2,1,5.066,0.002,6731.59,17.294,3.839
Hawaii,FloydWarshall,TWO_D,2048,2048,4,4,1,4.957,0.002,4869.19,16.732,3.834
Hawaii,FloydWarshall,TWO_D,2048,2048,4,8,1,5.141,0.002,4156.46,17.323,3.832
Hawaii,FloydWarshall,TWO_D,2048,2048,4,16,1,5.716,0.002,4204.93,16.822,3.851
Hawaii,FloydWarshall,TWO_D,2048,2048,4,32,1,5.561,0.002,4182.74,16.149,3.82
Hawaii,FloydWarshall,TWO_D,2048,2048,4,64,1,5.772,0.003,4512.77,14.495,3.858
Hawaii,FloydWarshall,TWO_D,2048,2048,8,1,1,5.314,0.002,6671.71,14.897,3.845
Hawaii,FloydWarshall,TWO_D,2048,2048,8,2,1,5.241,0.002,4880.53,15.579,2.231
Hawaii,FloydWarshall,TWO_D,2048,2048,8,4,1,5.054,0.002,4067.33,17.343,3.854
Hawaii,FloydWarshall,TWO_D,2048,2048,8,8,1,5.404,0.002,3899.12,15.939,3.83
Hawaii,FloydWarshall,TWO_D,2048,2048,8,16,1,5.892,0.003,3928.82,15.079,3.86
Hawaii,FloydWarshall,TWO_D,2048,2048,8,32,1,5.312,0.002,3840.52,15.52,3.821
Hawaii,FloydWarshall,TWO_D,2048,2048,16,1,1,5.774,0.002,4928.42,12.922,3.834
Hawaii,FloydWarshall,TWO_D,2048,2048,16,2,1,5.46,0.003,4110.03,12.963,3.813
Hawaii,FloydWarshall,TWO_D,2048,2048,16,4,1,4.862,0.003,3837.88,16.731,3.827
Hawaii,FloydWarshall,TWO_D,2048,2048,16,8,1,5.448,0.002,3736.12,16.884,3.925
Hawaii,FloydWarshall,TWO_D,2048,2048,16,16,1,5.306,0.003,3682.01,16.101,3.86
Hawaii,FloydWarshall,TWO_D,2048,2048,32,1,1,5.235,0.003,4045.89,17.158,3.86
Hawaii,FloydWarshall,TWO_D,2048,2048,32,2,1,5.232,0.002,3775.81,14.126,2.236
Hawaii,FloydWarshall,TWO_D,2048,2048,32,4,1,5.686,0.003,3649.12,16.151,4.348
Hawaii,FloydWarshall,TWO_D,2048,2048,32,8,1,6.361,0.003,3229.67,19.938,3.515
Hawaii,FloydWarshall,TWO_D,2048,2048,64,1,1,5.713,0.002,3347.26,20.27,4.014
Hawaii,FloydWarshall,TWO_D,2048,2048,64,2,1,5.986,0.003,3220.13,19.636,3.271
Hawaii,FloydWarshall,TWO_D,2048,2048,64,4,1,5.951,0.003,3166.41,20.066,3.667
Hawaii,FloydWarshall,TWO_D,2048,2048,128,1,1,5.514,0.017,3169.13,20.207,3.409
Hawaii,FloydWarshall,TWO_D,2048,2048,128,2,1,5.903,0.003,3150.16,19.564,4.226
Hawaii,FloydWarshall,TWO_D,2048,2048,256,1,1,5.774,0.017,3156.72,19.428,4.21
Hawaii,FloydWarshall,TWO_D,2048,2048,1,1,1,6.834,0.018,38162.4,19.401,5.301
Hawaii,FloydWarshall,TWO_D,2048,2048,1,2,1,5.729,0.003,19785.3,19.41,4.043
Hawaii,FloydWarshall,TWO_D,2048,2048,1,4,1,5.857,0.002,10790.3,19.664,4.084
Hawaii,FloydWarshall,TWO_D,2048,2048,1,8,1,6.05,0.004,6746.02,15.782,3.658
Hawaii,FloydWarshall,TWO_D,2048,2048,1,16,1,5.857,0.002,4968.88,13.663,3.638
Hawaii,FloydWarshall,TWO_D,2048,2048,1,32,1,6.01,0.003,4768.27,14.438,3.351
Hawaii,FloydWarshall,TWO_D,2048,2048,1,64,1,5.995,0.003,7578.48,16.474,3.468
Hawaii,FloydWarshall,TWO_D,2048,2048,1,128,1,4.851,0.002,9813.6,17.272,3.504
Hawaii,FloydWarshall,TWO_D,2048,2048,1,256,1,4.985,0.002,11085.5,14.05,3.586
Hawaii,FloydWarshall,TWO_D,2048,2048,2,1,1,5.863,0.004,19786.6,12.36,3.547
Hawaii,FloydWarshall,TWO_D,2048,2048,2,2,1,5.417,0.003,10852.4,15.393,3.496
Hawaii,FloydWarshall,TWO_D,2048,2048,2,4,1,5.041,0.003,6699.98,17.601,3.546
Hawaii,FloydWarshall,TWO_D,2048,2048,2,8,1,7.334,0.002,4874.58,17.342,3.549
Hawaii,FloydWarshall,TWO_D,2048,2048,2,16,1,5.228,0.002,4230.08,13.821,3.513
Hawaii,FloydWarshall,TWO_D,2048,2048,2,32,1,4.844,0.003,4751.04,14.007,3.516
Hawaii,FloydWarshall,TWO_D,2048,2048,2,64,1,5.544,0.002,5689.09,16.935,3.499
Hawaii,FloydWarshall,TWO_D,2048,2048,2,128,1,5.958,0.003,6646.49,12.169,3.555
Hawaii,FloydWarshall,TWO_D,2048,2048,4,1,1,6.089,0.002,10871.7,12.518,3.79
Hawaii,FloydWarshall,TWO_D,2048,2048,4,2,1,6.022,0.002,6705.19,15.33,3.58
Hawaii,FloydWarshall,TWO_D,2048,2048,4,4,1,5.601,0.002,4858.35,16.69,3.515
Hawaii,FloydWarshall,TWO_D,2048,2048,4,8,1,5.368,0.003,4209.73,14.266,3
Hawaii,FloydWarshall,TWO_D,2048,2048,4,16,1,5.267,0.003,4080.88,15.924,3.513
Hawaii,FloydWarshall,TWO_D,2048,2048,4,32,1,5.225,0.003,4228.44,13.849,3.532
Hawaii,FloydWarshall,TWO_D,2048,2048,4,64,1,5.491,0.003,4531.35,17.094,3.527
Hawaii,FloydWarshall,TWO_D,2048,2048,8,1,1,4.829,0.002,6757.3,13.072,3.541
Hawaii,FloydWarshall,TWO_D,2048,2048,8,2,1,5.676,0.003,4874.15,16.02,2.053
Hawaii,FloydWarshall,TWO_D,2048,2048,8,4,1,5.31,0.002,4146.94,15.922,3.536
Hawaii,FloydWarshall,TWO_D,2048,2048,8,8,1,5.134,0.003,3985.05,15.139,3.501
Hawaii,FloydWarshall,TWO_D,2048,2048,8,16,1,5.153,0.002,3929.41,13.384,3.533
Hawaii,FloydWarshall,TWO_D,2048,2048,8,32,1,5.471,0.003,3839.37,14.45,3.502
Hawaii,FloydWarshall,TWO_D,2048,2048,16,1,1,5.528,0.003,4860.27,14.784,3.596
Hawaii,FloydWarshall,TWO_D,2048,2048,16,2,1,5.397,0.003,4113.35,15.484,3.524
Hawaii,FloydWarshall,TWO_D,2048,2048,16,4,1,5.259,0.003,3817.94,16.734,3.495
Hawaii,FloydWarshall,TWO_D,2048,2048,16,8,1,5.743,0.003,3741.97,16.713,3.509
