device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,1,1,134.051,0.006,1629.8,0.001,26.96
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,2,1,106.617,0.003,1908.39,0.001,17.243
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,4,1,104.011,0.014,1416.28,0,16.737
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,8,1,101.768,0.004,1381.04,0.001,16.795
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,16,1,100.03,0.002,1450.52,0,16.805
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,32,1,98.099,0.004,1597,0.001,16.817
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,64,1,98.908,0.002,1767.17,0,16.812
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,128,1,103.137,0.002,1950.99,0,16.846
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,256,1,96.191,0.002,2627.58,0.001,16.801
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,1,1,98.231,0.001,1518.51,0.001,16.823
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,2,1,96.376,0.002,1401.29,0.001,16.827
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,4,1,97.486,0.002,1386.73,0,16.847
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,8,1,98.229,0.002,1423.87,0,16.84
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,16,1,100.837,0.002,1426.2,0.001,16.938
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,32,1,98.82,0.005,1439.93,0.001,16.866
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,64,1,97.162,0.002,1560.06,0.001,16.838
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,128,1,102.767,0.002,1727.42,0.001,16.796
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,1,1,100.595,0.002,1390.83,0.001,16.869
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,2,1,100.678,0.004,1385.77,0.001,16.91
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,4,1,102.81,0.002,1412.64,0.001,16.819
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,8,1,98.03,0.001,1408.11,0.001,16.823
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,16,1,95.99,0.002,1380.57,0.001,16.794
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,32,1,98.812,0.002,1396.12,0.001,16.906
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,64,1,96.999,0.001,1468.37,0.001,16.796
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,1,1,99.036,0.004,1367.32,0,16.824
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,2,1,98.036,0.002,1407.44,0.001,16.808
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,4,1,98.351,0.004,1408.16,0.001,16.804
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,8,1,97.92,0.005,1407.94,0,16.859
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,16,1,98.155,0.002,1406.67,0.001,16.958
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,32,1,102.094,0.001,1388.76,0.001,16.825
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,1,1,99.401,0.001,1395.69,0,16.865
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,2,1,98.528,0.005,1389.02,0.001,16.884
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,4,1,102.648,0.002,1411.63,0.001,16.823
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,8,1,98.032,0.005,1398.92,0,16.856
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,16,1,97.794,0.002,1405.83,0,16.849
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,1,1,99.038,0.004,1409.31,0.001,16.87
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,2,1,98.271,0.002,1416.14,0.001,16.88
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,4,1,100.373,0.004,1398.96,0.001,16.827
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,8,1,99.278,0.002,1399.74,0.001,16.832
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,1,1,102.816,0.004,1403.49,0,17.224
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,2,1,102.558,0.005,1398.58,0.001,16.901
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,4,1,99.25,0.005,1417.6,0.001,16.846
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,1,1,98.838,0.002,1397.64,0.001,16.848
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,2,1,100.338,0.003,1398.95,0.001,16.846
Hawaii,FluidSimulation,TWO_D,2048,2048,5,256,1,1,97.786,0.002,1401.12,0.001,16.866
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,1,1,119.533,0.004,1615.86,0.001,26.569
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,2,1,103.03,0.006,1845.94,0.001,16.952
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,4,1,98.628,0.005,1415.54,0,16.617
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,8,1,103.974,0.002,1428.46,0.001,17.043
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,16,1,99.158,0.002,1458.95,0.001,17.273
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,32,1,102.082,0.004,1608.89,0.001,16.554
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,64,1,99.039,0.004,1771.79,0.001,16.741
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,128,1,96.599,0.002,1952.62,0.001,16.595
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,256,1,101.957,0.004,2629.34,0,16.626
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,1,1,97.449,0.002,1511.52,0.001,16.605
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,2,1,102.235,0.002,1408.18,0,16.624
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,4,1,100.029,0.002,1410.67,0.001,16.672
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,8,1,103.462,0.002,1427.49,0.001,16.608
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,16,1,103.28,0.002,1426.86,0.001,16.551
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,32,1,103.205,0.002,1442.88,0,16.607
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,64,1,98.183,0.004,1562.42,0,16.688
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,128,1,97.961,0.003,1718.82,0.001,16.874
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,1,1,100.237,0.004,1389.15,0.001,16.674
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,2,1,100.564,0.004,1407.91,0.001,16.633
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,4,1,100.299,0.002,1413.2,0.001,16.608
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,8,1,99.132,0.004,1418.68,0,16.677
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,16,1,99.323,0.005,1393.54,0.001,16.736
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,32,1,104.11,0.003,1407.82,0.001,16.676
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,64,1,104.203,0.004,1466.27,0.001,16.653
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,1,1,103.737,0.004,1406.06,0.001,16.575
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,2,1,97.723,0.002,1402.16,0.001,16.618
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,4,1,97.898,0.004,1415.8,0.001,16.615
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,8,1,101.04,0.005,1401.54,0.001,17.169
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,16,1,100.435,0.004,1414.04,0,17.097
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,32,1,100.663,0.004,1391.6,0,17.189
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,1,1,95.89,0.002,1408.91,0.004,17.074
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,2,1,101.594,0.002,1399.61,0.001,17.136
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,4,1,98.378,0.004,1407.79,0,17.079
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,8,1,100.741,0.002,1417.06,0.001,17.097
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,16,1,100.719,0.002,1417.79,0.001,17.096
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,1,1,99.403,0.004,1410.74,0,17.104
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,2,1,104.128,0.002,1401.79,0.001,17.384
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,4,1,101.273,0.002,1397.43,0,17.26
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,8,1,98.096,0.004,1412.67,0.001,17.138
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,1,1,96.906,0.002,1408.54,0.001,17.066
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,2,1,98.914,0.005,1412.07,0.001,17.153
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,4,1,100.239,0.002,1415.03,0.001,17.041
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,1,1,102.026,0.002,1417.38,0.001,17.141
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,2,1,99.746,0.001,1409.4,0.001,17.099
Hawaii,FluidSimulation,TWO_D,2048,2048,5,256,1,1,99.498,0.002,1389.23,0.001,17.105
