device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,1,22.681,0.011,206.237,31.736,0.662
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,2,22.37,0.004,120.903,31.834,0.653
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,4,22.239,0.004,67.827,31.594,0.665
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,8,22.251,0.003,40.534,31.621,0.67
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,16,22.195,0.004,29.472,31.594,0.684
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,32,22.396,0.003,27.634,31.64,0.668
Tesla K20Xm,Array3dAverage,THREE_D,256,1,1,64,22.216,0.003,32.227,31.582,0.664
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.29,0.003,4.233,31.668,0.678
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.27,0.003,4.228,31.61,0.668
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.268,0.003,4.236,31.629,0.687
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.332,0.003,4.231,31.622,0.686
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,1,22.387,0.003,114.803,31.614,0.688
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,2,22.238,0.003,67.376,31.65,0.685
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,4,22.235,0.003,40.621,31.643,0.666
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,8,22.213,0.004,29.419,31.584,0.673
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,16,22.332,0.004,26.725,31.734,0.667
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,32,22.277,0.003,26.193,31.581,0.668
Tesla K20Xm,Array3dAverage,THREE_D,256,1,2,64,22.361,0.003,26.221,31.635,0.67
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.391,0.003,4.217,31.698,0.693
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.287,0.004,4.258,31.8,0.665
Tesla K20Xm,Array3dAverage,THREE_D,256,8,8,8,22.322,0.004,4.25,31.661,0.667
