device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,1,1,12.169,0.844,0.003,3.309,1.062,0.195
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,2,1,11.646,0.705,0,1.903,0.593,0.163
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,4,1,11.62,0.693,0.001,1.121,0.592,0.168
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,8,1,11.626,0.7,0.001,0.734,0.594,0.159
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,16,1,11.626,0.693,0.001,0.585,0.599,0.159
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,32,1,11.621,0.692,0.001,0.553,0.593,0.175
Tesla K20Xm,Array3dAverage,THREE_D,64,1,1,64,1,11.617,0.699,0.001,0.545,0.595,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.621,0.722,0.001,0.199,0.591,0.158
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.621,0.696,0.001,0.197,0.604,0.158
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.828,0.693,0.001,0.41,0.591,0.157
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.676,0.757,0.001,0.434,0.595,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,1,1,11.622,0.692,0,2.102,0.59,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,2,1,11.621,0.697,0.001,1.311,0.592,0.161
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,4,1,11.619,0.699,0.001,0.938,0.597,0.157
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,8,1,11.62,0.7,0.001,0.776,0.59,0.162
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,16,1,11.618,0.697,0,0.736,0.591,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,32,1,11.624,0.691,0.001,0.759,0.592,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,2,64,1,11.621,0.687,0,0.811,0.633,0.269
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.623,0.697,0.001,0.433,0.604,0.159
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.618,0.699,0.001,0.394,0.592,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.623,0.696,0,0.387,0.592,0.162
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,1,1,11.617,0.701,0.001,1.321,0.593,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,2,1,11.62,0.693,0.001,0.939,0.595,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,4,1,11.623,0.693,0.001,0.78,0.597,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,8,1,11.691,0.702,0,0.839,0.599,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,16,1,11.621,0.692,0.001,0.726,0.594,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,32,1,11.619,0.701,0,0.744,0.597,0.162
Tesla K20Xm,Array3dAverage,THREE_D,64,1,4,64,1,11.626,0.7,0.001,0.759,0.595,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.628,0.695,0.001,0.403,0.595,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,11.62,0.701,0,0.41,0.59,0.155
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,1,1,11.622,0.69,0.001,0.949,0.592,0.154
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,2,1,11.622,0.699,0,0.871,0.59,0.162
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,4,1,11.628,0.694,0,0.798,0.597,0.156
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,8,1,10.779,0.607,0,0.734,0.523,0.126
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,16,1,8.713,0.608,0.001,0.708,0.526,0.126
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,32,1,8.711,0.608,0.001,0.718,0.522,0.126
Tesla K20Xm,Array3dAverage,THREE_D,64,1,8,64,1,8.715,0.609,0.001,0.737,0.524,0.127
Tesla K20Xm,Array3dAverage,THREE_D,64,8,8,8,1,8.711,0.606,0.001,0.365,0.524,0.125
Tesla K20Xm,Array3dAverage,THREE_D,64,1,16,1,1,8.749,0.61,0.001,0.765,0.518,0.126
Tesla K20Xm,Array3dAverage,THREE_D,64,1,16,2,1,8.713,0.608,0,0.714,0.532,0.127
Tesla K20Xm,Array3dAverage,THREE_D,64,1,16,4,1,8.796,0.607,0,0.821,0.525,0.13
Tesla K20Xm,Array3dAverage,THREE_D,64,1,16,8,1,8.704,0.614,0,0.774,0.522,0.132
