device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,1,1,1,12,68.889,18.197,0.001,1.07148e+06,0.002,2.108
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,2,1,1,12,67.386,18.176,0.001,535902,0,2.099
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,4,1,1,12,66.703,18.194,0.002,267940,0,2.252
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,8,1,1,12,66.857,18.088,0.002,133966,0,2.237
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,16,1,1,12,66.631,18.16,0.003,67138.8,0.001,2.089
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,32,1,1,12,66.064,18.047,0.002,34000.9,0.001,2.15
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,64,1,1,12,66.033,18.042,0.002,17250.4,0,2.102
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,128,1,1,12,66.254,17.821,0.002,14319.2,0.001,2.171
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,256,1,1,12,65.898,17.968,0.003,14317.9,0.001,2.107
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,512,1,1,12,65.88,18.013,0.002,14391.3,0,2.118
Tesla K20Xm,NBody,ONE_D,786432,0.005,1,1024,1,1,12,65.805,17.984,0.002,18297.4,0,2.141
