device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,1,1,8,162.087,134.876,0.017,517.594,0,4.609
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,2,1,8,150.76,92.058,0.017,529.762,0.001,3.896
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,4,1,8,146.726,90.084,0.016,515.239,0.001,5.095
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,8,1,8,147.739,89.351,0.017,530.498,0.001,5.156
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,16,1,8,147.733,89.647,0.015,548.675,0.001,4.264
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,32,1,8,146.855,99.304,0.015,558.008,0,3.649
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,64,1,8,146.587,94.153,0.016,535.662,0.001,3.71
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,128,1,8,146.652,93.267,0.021,544.919,0,4.118
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,256,1,8,147.094,93.761,0.017,555.209,0.001,4.89
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,512,1,8,147.824,92.704,0.017,524.887,0.001,4.845
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,1024,1,8,148.458,99.182,0.016,559.409,0.002,4.603
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,2048,1,8,147.448,91.399,0.016,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,4096,1,8,147.036,94.811,0.016,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,1,8192,1,8,146.318,96.742,0.017,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,1,1,8,146.232,88.873,0.016,498.82,0.001,4.087
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,2,1,8,149.676,90.551,0.016,508.58,0.001,5.146
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,4,1,8,147.182,96.053,0.017,467.52,0,4.048
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,8,1,8,147.156,93.288,0.023,493.415,0,3.68
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,16,1,8,146.421,92.487,0.016,480.336,0.001,3.72
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,32,1,8,146.593,93.426,0.016,525.533,0.001,3.997
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,64,1,8,147.051,93.745,0.016,446.57,0.001,4.458
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,128,1,8,146.371,93.025,0.017,522.005,0.001,4.851
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,256,1,8,147.706,90.872,0.018,538.114,0.001,5.853
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,512,1,8,148.126,97.314,0.015,520.312,0.001,4.601
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,1024,1,8,146.854,94.097,0.017,537.676,0.001,4.659
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,2048,1,8,147.532,96.561,0.016,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,2,4096,1,8,146.608,89.001,0.016,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,1,1,8,146.092,91.351,0.016,469.591,0.001,4.434
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,2,1,8,147.839,90.456,0.018,493.501,0.001,4.649
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,4,1,8,147.236,94.59,0.017,499.28,0.001,4.732
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,8,1,8,148.356,92.741,0.017,499.67,0,3.584
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,16,1,8,146.703,93.41,0.016,505.511,0.001,4.496
Intel(R) Many Integrated Core Acceleration Card,FluidSimulation,TWO_D,1024,1024,5,4,32,1,8,147.2,93.395,0.017,469.467,0.001,5.152
