device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,1,1,0.5,114.808,26.511,0.008,4894.28,30.011,13.504
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,2,1,0.5,115.616,28.354,0.008,3507.01,27.01,3.543
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,4,1,0.5,117.652,28.487,0.011,2787.77,25.432,3.616
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,8,1,0.5,114.252,28.292,0.007,2398.2,29.752,4.65
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,16,1,0.5,115.426,28.007,0.012,2124.96,25.319,3.682
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,32,1,0.5,117.322,28.273,0.008,2026.33,32.396,3.737
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,64,1,0.5,113.634,28.247,0.025,1954.31,26.592,3.558
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,128,1,0.5,117.279,28.277,0.011,1821.32,24.09,3.028
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,256,1,0.5,115.88,28.417,0.008,1656.72,24.855,3.746
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,512,1,0.5,113.528,27.79,0.008,1367.23,26.118,3.526
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,1024,1,0.5,113.817,28.46,0.008,1491.05,24.899,3.024
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,2048,1,0.5,113.654,28.072,0.008,1713.42,27.091,3.895
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,4096,1,0.5,118.097,28.263,0.011,2118.11,25.344,3.024
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,1,8192,1,0.5,113.45,28.489,0.008,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,1,1,0.5,116.749,26.497,0.008,3517.18,28.115,4.357
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,2,1,0.5,115.343,28.398,0.01,2799.31,26.36,3.823
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,4,1,0.5,114.333,28.003,0.009,2392.48,27.906,3.525
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,8,1,0.5,118.188,28.217,0.009,2124.97,26.85,3.536
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,16,1,0.5,114.634,28.071,0.008,2022.41,24.797,2.871
Intel(R) Many Integrated Core Acceleration Card,LUDecomposition,TWO_D,2048,2048,2,32,1,0.5,113.661,28.347,0.007,1941.59,24.108,2.931
