device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,1,8,103.149,6.084,0.005,23.715,3.962,1.953
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,2,8,102.995,8.102,0.007,18.17,12.938,1.584
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,4,8,93.009,7.499,0.006,18.961,2.881,1.613
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,8,8,94.882,7.413,0.006,19.053,3.272,1.534
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,16,8,92.819,7.105,0.005,21.1,11.008,1.995
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,32,8,112.081,8.785,0.005,21.528,2.813,1.601
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,64,8,106.969,7.532,0.006,21.269,2.575,1.468
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,128,8,93.569,7.409,0.005,20.589,2.652,1.912
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,256,8,93.659,7.34,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,512,8,99.525,5.868,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,1024,8,92.389,6.057,0.007,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,2048,8,97.165,6.009,0.006,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,4096,8,93.597,5.933,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,1,8192,8,93.76,5.945,0.007,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,2,1,8,93.589,5.707,0.008,15.868,4.623,1.938
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,2,2,8,99.534,7.509,0.006,15.514,18.427,1.524
Intel(R) Many Integrated Core Acceleration Card,Array3dAverage,THREE_D,128,1,2,4,8,92.921,7.728,0.006,16.759,2.859,1.779
