device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,1,1,20.0226,452.9,23.723,0.009,1237.2,0.005,3.289
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,2,1,20.0226,554.363,22.952,0.007,1147.9,0.005,3.213
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,4,1,20.0226,539.473,22.966,0.007,1117.44,0.005,3.2
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,8,1,20.0226,559.188,23.537,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,16,1,20.0226,451.042,23.338,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,32,1,20.0226,453.169,23.881,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,64,1,20.0226,454.849,24.065,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,128,1,20.0226,453.597,23.501,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,256,1,20.0226,452.992,23.86,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,512,1,20.0226,452.724,23.25,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,1024,1,20.0226,453.992,23.952,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,2048,1,20.0226,452.833,23.501,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,4096,1,20.0226,452.742,23.899,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1,8192,1,20.0226,452.717,23.758,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2,1,1,20.0226,453.82,23.924,0.009,1138.79,0.006,2.829
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2,2,1,20.0226,549.484,23.816,0.008,1120.09,0.006,3.114
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2,4,1,20.0226,565.312,23.746,0.008,1107.45,0.005,3.085
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2,8,1,20.0226,562.432,23.89,0.008,-1,-1,-1
