device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,1,1,16,89.923,4.138,0.008,25.688,2.651,2.496
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,2,1,16,90.147,5.855,0.006,18.897,2.623,2.196
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,4,1,16,90.252,5.991,0.006,16.785,2.631,1.88
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,8,1,16,95.874,5.992,0.007,15.401,9.135,1.693
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,16,1,16,93.972,5.991,0.006,17.23,8.043,1.597
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,32,1,16,87.968,5.576,0.006,20.1,9.92,1.747
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,64,1,16,89.643,5.755,0.007,24.283,6.487,1.672
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,128,1,16,93.667,5.803,0.006,24.562,10.165,1.674
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,256,1,16,90.501,6.098,0.006,24.704,7.851,1.743
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,512,1,16,114.514,6.543,0.006,27.01,5.59,1.593
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,1024,1,16,83.421,6.218,0.007,25.657,5.88,1.919
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,2048,1,16,87.702,5.783,0.006,27.352,8.164,1.689
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,4096,1,16,90.89,5.65,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,1,8192,1,16,83.121,4.51,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,1,1,16,82.949,4.343,0.007,18.868,9.022,1.739
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,2,1,16,89.389,5.793,0.005,16.263,6.82,1.931
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,4,1,16,114.08,6.173,0.005,14.456,7.443,1.665
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,8,1,16,90.671,5.926,0.006,14.316,11.313,1.832
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,16,1,16,94.101,5.756,0.006,14.32,8.024,1.882
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,32,1,16,88.759,5.54,0.006,15.397,6.351,1.69
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,64,1,16,90.043,5.705,0.005,17.649,8.956,1.529
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,128,1,16,84.548,5.743,0.005,17.979,8.107,1.894
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,256,1,16,88.553,5.269,0.006,17.549,9.843,1.585
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,512,1,16,84.437,5.446,0.007,18.329,9.079,1.688
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,1024,1,16,92.802,5.628,0.006,19.255,9.673,1.577
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,2048,1,16,93.669,5.56,0.006,19.198,7.863,1.692
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,2,4096,1,16,89.096,5.679,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,4,1,1,16,83.023,4.261,0.006,15.223,6.954,2.158
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,4,2,1,16,88.399,5.716,0.006,14.335,6.909,1.657
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,4,4,1,16,85.752,5.739,0.006,16.217,6.778,1.583
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,4,8,1,16,87.754,5.725,0.006,13.335,9.585,1.689
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,4,16,1,16,90.351,5.951,0.005,13.408,7.588,1.985
