device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0.001,0,0,1.229,0,1.179
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2,1,1,16,0,0,0,0.378,0.001,1.021
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4,1,1,16,0,0.001,0,0.267,0.001,0.969
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8,1,1,16,0,0.001,0,0.232,0,0.97
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,16,1,1,16,0,0,0,0.231,0.001,0.973
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,32,1,1,16,0.001,0,0,0.211,0,0.977
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,64,1,1,16,0,0,0,0.223,0.001,1.007
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,128,1,1,16,0,0,0,0.212,0.001,0.949
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,256,1,1,16,0,0,0,0.238,0.001,0.948
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,512,1,1,16,0,0,0,0.177,0,1.29
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1024,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2048,1,1,16,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4096,1,1,16,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8192,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0,0.001,0,1.573,0.001,1.361
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2,1,1,16,0.001,0.001,0,0.58,0.001,0.992
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4,1,1,16,0,0,0.001,0.348,0.001,0.992
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8,1,1,16,0.001,0,0.001,0.35,0,0.949
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,16,1,1,16,0.001,0,0.001,0.368,0.001,0.97
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,32,1,1,16,0,0.001,0,0.385,0,0.964
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,64,1,1,16,0,0,0,0.354,0,0.978
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,128,1,1,16,0,0.001,0,0.364,0,0.954
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,256,1,1,16,0,0.001,0,0.345,0.001,0.97
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,512,1,1,16,0,0.001,0,0.351,0,0.971
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1024,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2048,1,1,16,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4096,1,1,16,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8192,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0,0.001,0,1.848,0.001,1.289
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2,1,1,16,0,0,0,0.427,0,0.946
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4,1,1,16,0,0.001,0,0.41,0.001,0.933
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8,1,1,16,0,0,0.001,0.4,0.001,0.918
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,16,1,1,16,0,0,0.001,0.389,0,0.934
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,32,1,1,16,0,0,0,0.386,0.001,0.916
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,64,1,1,16,0,0,0,0.387,0,0.929
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,128,1,1,16,0.001,0,0,0.38,0.001,0.922
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,256,1,1,16,0.001,0,0,0.368,0,0.939
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,512,1,1,16,0,0.001,0,0.351,0.001,0.929
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1024,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2048,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4096,1,1,16,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8192,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0,0.001,0,1.303,0,0.955
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2,1,1,16,0.001,0,0,0.735,0,0.94
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4,1,1,16,0,0.001,0,0.258,0,0.948
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8,1,1,16,0,0,0,0.247,0,0.949
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,16,1,1,16,0,0,0,0.241,0,1.16
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,32,1,1,16,0.001,0,0.001,0.25,0.001,0.976
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,64,1,1,16,0,0,0,0.229,0.001,0.986
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,128,1,1,16,0,0.001,0,0.231,0,0.949
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,256,1,1,16,0,0,0,0.226,0,0.934
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,512,1,1,16,0,0,0,0.209,0,0.931
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1024,1,1,16,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2048,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4096,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8192,1,1,16,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0.001,0,0,1.419,0.001,0.939
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2,1,1,16,0,0,0,0.484,0,0.948
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4,1,1,16,0.001,0,0,0.281,0.001,1.007
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8,1,1,16,0,0,0,0.275,0,0.99
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,16,1,1,16,0,0,0.001,0.255,0,0.986
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,32,1,1,16,0,0,0.001,0.24,0,1.004
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,64,1,1,16,0,0,0,0.257,0,0.989
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,128,1,1,16,0,0,0,0.257,0.001,0.992
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,256,1,1,16,0,0,0.001,0.205,0,1.002
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,512,1,1,16,0,0,0,0.188,0.001,1.028
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1024,1,1,16,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,2048,1,1,16,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,4096,1,1,16,0.001,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,8192,1,1,16,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Empty,ONE_D,1,1,1,16,0,0,0,1.381,0,0.948
