device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,1,1,18,409.572,0.125,0.003,757.159,0.006,1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,2,1,18,400.352,0.091,0.003,647.879,0.005,1.066
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,4,1,18,400.415,0.057,0.003,608.404,0.007,1.005
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,8,1,18,400.038,0.094,0.002,585.359,0.008,1.036
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,16,1,18,400.564,0.088,0.003,587.326,0.007,1.011
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,32,1,18,399.76,0.094,0.003,569.33,0.01,0.907
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,64,1,18,400.893,0.091,0.004,563.384,0.01,0.876
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,128,1,18,399.746,0.087,0.003,570.418,0.007,0.941
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,256,1,18,399.883,0.091,0.002,561.947,0.007,0.91
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,512,1,18,399.934,0.089,0.004,563.507,0.007,0.838
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,1,1024,1,18,399.933,0.086,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,1,1,18,406.183,0.09,0.004,638.763,0.006,0.922
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,2,1,18,400.521,0.058,0.003,591.674,0.013,0.973
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,4,1,18,401.325,0.086,0.003,582.378,0.007,1.023
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,8,1,18,399.845,0.093,0.002,571.765,0.007,0.954
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,16,1,18,400.83,0.089,0.004,563.091,0.007,0.905
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,32,1,18,399.935,0.091,0.003,556.727,0.007,0.913
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,64,1,18,400.873,0.092,0.003,558.256,0.009,0.863
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,128,1,18,399.802,0.088,0.003,572.027,0.006,0.906
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,256,1,18,401.187,0.086,0.002,559.049,0.006,0.848
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,768,1536,4,2,512,1,18,399.354,0.097,0.003,571.841,0.006,0.842
