device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,1,1,28.0079,627.132,0.097,0.003,1096.62,0.007,1.098
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,2,1,28.0079,622.961,0.057,0.003,987.799,0.006,1.071
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,4,1,28.0079,621.845,0.061,0.003,919.966,0.006,1.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,8,1,28.0079,622.016,0.094,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,16,1,28.0079,626.501,0.097,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,32,1,28.0079,625.76,0.088,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,64,1,28.0079,625.672,0.094,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,128,1,28.0079,623.938,0.088,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,256,1,28.0079,626.41,0.093,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,512,1,28.0079,625.753,0.097,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,1,1024,1,28.0079,625.696,0.095,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,1,1,28.0079,624.46,0.093,0.003,981.213,0.007,1.117
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,2,1,28.0079,622.417,0.059,0.004,919.896,0.007,1.785
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,4,1,28.0079,623.08,0.095,0.003,1033.3,0.016,1.253
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,8,1,28.0079,623.482,0.123,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,16,1,28.0079,624.269,0.129,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,32,1,28.0079,622.168,0.114,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,64,1,28.0079,622.844,0.128,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,128,1,28.0079,623.051,0.126,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,256,1,28.0079,629.156,0.113,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,958,1916,4,2,512,1,28.0079,623.547,0.124,0.003,-1,-1,-1
