device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1,1,1,0.073,0,8.608,0.097,0.145
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2,1,1,0.098,0.002,6.811,0.083,0.1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4,1,1,0.078,0.001,4.187,0.07,0.136
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8,1,1,0.099,0.001,3.623,0.091,0.118
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,16,1,1,0.077,0.001,3.2,0.091,0.145
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,32,1,1,0.099,0.001,3.49,0.117,0.11
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,64,1,1,0.079,0,3.278,0.072,0.073
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,128,1,1,0.113,0,3.224,0.068,0.072
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,256,1,1,0.142,0.001,3.543,0.07,0.126
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,512,1,1,0.146,0.001,2.385,0.086,0.058
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1024,1,1,0.159,0.001,1.581,0.077,0.057
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1,1,1,0.073,0,8.017,0.086,0.127
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2,1,1,0.078,0,6.595,0.098,0.063
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4,1,1,0.097,0.001,5.047,0.104,0.135
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8,1,1,0.078,0,3.989,0.066,0.086
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,16,1,1,0.098,0.001,3.421,0.056,0.117
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,32,1,1,0.053,0.001,2.703,0.042,0.056
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,64,1,1,0.173,0.001,2.778,0.064,0.121
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,128,1,1,0.08,0.001,3.394,0.088,0.113
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,256,1,1,0.078,0.001,3.391,0.126,0.13
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,512,1,1,0.105,0.001,2.475,0.117,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1024,1,1,0.134,0.001,1.862,0.091,0.097
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1,1,1,0.04,0.001,8.133,0.05,0.066
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2,1,1,0.032,0,5.127,0.044,0.063
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4,1,1,0.037,0.001,4.308,0.066,0.06
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8,1,1,0.033,0,3.779,0.06,0.101
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,16,1,1,0.032,0.001,2.895,0.043,0.097
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,32,1,1,0.035,0.001,2.54,0.077,0.059
