device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,0.305,0,4.662,0.367,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,0.481,0.001,2.355,0.553,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,0.42,0.002,1.363,0.324,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,0.385,0.001,0.847,0.345,0.131
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,0.398,0.001,0.529,0.398,0.142
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,0.387,0.001,0.429,0.408,0.115
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,0.532,0.001,0.256,0.34,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,0.516,0,0.215,0.339,0.178
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,0.395,0.001,0.299,0.351,0.14
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,0.217,0.001,0.235,0.262,0.112
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1024,1,1,0.274,0.001,0.203,0.312,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,0.845,0.001,7.346,0.458,0.126
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,0.313,0,2.17,0.327,0.188
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,0.327,0.002,1.992,0.483,0.161
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,0.224,0.001,1.049,0.351,0.163
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,0.264,0.001,0.636,0.297,0.135
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,0.266,0.001,0.443,0.273,0.108
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,0.421,0.003,0.422,0.312,0.15
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,0.265,0.002,0.422,0.362,0.124
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,0.401,0.002,0.417,0.336,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,0.398,0.002,0.374,0.415,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1024,1,1,0.424,0.002,0.37,0.333,0.149
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,0.723,0.001,6.432,0.54,0.124
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,0.747,0.001,3.713,0.597,0.135
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,0.789,0,2.079,0.57,0.155
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,0.767,0.001,1.162,0.564,0.135
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,0.797,0.001,0.791,0.666,0.154
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,0.816,0.002,0.492,0.606,0.115
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,0.791,0.002,0.434,0.599,0.129
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,0.735,0.001,0.442,0.603,0.141
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,0.743,0.002,0.382,0.584,0.145
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,0.784,0.001,0.274,0.621,0.137
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1024,1,1,0.764,0.001,0.344,0.601,0.143
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,1,1,1,0.701,0.001,4.219,0.543,0.153
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,2,1,1,0.72,0.002,2.523,0.58,0.175
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,4,1,1,0.731,0.001,1.216,0.462,0.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,8,1,1,0.475,0.002,0.79,0.602,0.114
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,16,1,1,0.781,0.002,0.576,0.614,0.121
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,32,1,1,0.735,0.001,0.422,0.629,0.15
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,64,1,1,0.68,0.001,0.448,0.676,0.15
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,128,1,1,0.682,0.002,0.381,0.606,0.132
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,256,1,1,0.703,0.002,0.297,0.666,0.16
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,262144,512,1,1,0.806,0.002,0.317,0.701,0.179
