device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,1,1,64,333.688,34.253,0.006,178.546,30.932,1.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,2,1,64,330.779,35.671,0.005,101.716,33.056,1.217
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,4,1,64,337.493,37.185,0.005,62.417,32.916,1.236
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,8,1,64,330.988,34.498,0.004,53.745,33.631,1.204
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,16,1,64,330.987,37.711,0.005,80.833,32.134,1.22
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,32,1,64,331.102,36.076,0.004,45.478,33.519,1.26
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,64,1,64,330.981,37.524,0.005,41.567,33.67,1.224
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,128,1,64,331.588,34.418,0.005,41.871,33.712,1.229
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,256,1,64,331.012,38.522,0.004,50.532,33.804,1.252
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,512,1,64,331.157,35.842,0.005,89.899,33.246,1.186
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,1,1024,1,64,330.758,35.391,0.004,95.468,33.733,1.185
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,1,1,64,330.61,36.88,0.005,101,33.559,1.197
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,2,1,64,330.95,35.315,0.005,59.346,32.128,1.256
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,4,1,64,331.947,35.139,0.005,102.322,32.504,1.192
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,8,1,64,330.114,34.084,0.005,35.536,33.436,1.255
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,16,1,64,331.299,36.433,0.005,32.017,33.116,1.223
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,32,1,64,331.289,34.055,0.005,29.142,33.207,1.264
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,64,1,64,331.416,34.693,0.005,28.051,33.57,1.232
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,128,1,64,335.391,38.189,0.005,27.106,33.238,1.284
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,256,1,64,331.33,37.678,0.004,27.538,33.38,1.206
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,2,512,1,64,331.318,37.1,0.005,28.053,33.38,1.224
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,1,1,64,331.58,36.453,0.005,57.395,32.676,1.217
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,2,1,64,332.446,36.395,0.004,58.981,33.357,1.198
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,4,1,64,335.899,33.715,0.005,40.378,33.253,1.197
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,8,1,64,333.617,37.7,0.005,37.644,33.053,1.195
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,16,1,64,330.474,37.177,0.004,21.922,32.794,1.271
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,32,1,64,330.74,34.742,0.005,49.943,32.194,1.174
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,64,1,64,335.7,33.561,0.005,31.331,33.081,1.243
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,128,1,64,330.974,38.416,0.005,19.258,33.552,1.223
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,4,256,1,64,331.581,36.516,0.004,19.734,33.72,1.248
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,1,1,64,331.058,35.264,0.006,35.383,33.266,1.293
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,2,1,64,332.196,36.657,0.005,25.026,33.632,1.246
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,4,1,64,330.879,38.042,0.005,24.167,32.719,1.271
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,8,1,64,331.086,33.304,0.005,50.835,31.638,1.192
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,16,1,64,330.632,34.711,0.005,44.318,31.75,1.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,32,1,64,333.527,37.129,0.005,42.396,31.988,1.192
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,64,1,64,336.528,37.618,0.005,42.657,30.93,1.193
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,8,128,1,64,330.738,35.584,0.005,53.56,32.297,1.189
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,1,1,64,330.709,34.635,0.005,34.012,33.346,1.232
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,2,1,64,331.764,37.403,0.005,50.996,32.085,1.253
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,4,1,64,332.239,35.355,0.005,56.477,32.46,1.175
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,8,1,64,335.909,68.423,0.005,29.719,33.383,1.216
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,16,1,64,331.817,37.351,0.005,30.467,33.483,1.208
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,32,1,64,335.39,38.419,0.005,28.615,33.362,1.22
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,16,64,1,64,331.105,36.736,0.005,29.12,33.493,1.253
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,32,1,1,64,332.36,35.303,0.005,17.037,33.086,1.264
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,32,2,1,64,331.135,36.181,0.005,39.767,32.468,1.218
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,32,4,1,64,330.639,36.231,0.004,16.288,33.04,1.251
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,32,8,1,64,330.983,37.171,0.004,17.643,33.321,1.34
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,4096,4096,32,16,1,64,337.805,33.931,0.005,28.566,32.15,1.23
